2024-05-24 21:07:35,292 INFO    StreamThr :3608 [internal.py:wandb_internal():85] W&B internal server running at pid: 3608, started at: 2024-05-24 21:07:35.290677
2024-05-24 21:07:35,298 DEBUG   HandlerThread:3608 [handler.py:handle_request():158] handle_request: status
2024-05-24 21:07:35,304 INFO    WriterThread:3608 [datastore.py:open_for_write():87] open: d:\classification_test\wandb\run-20240524_210735-3tv27o8t\run-3tv27o8t.wandb
2024-05-24 21:07:35,304 DEBUG   SenderThread:3608 [sender.py:send():378] send: header
2024-05-24 21:07:35,495 DEBUG   SenderThread:3608 [sender.py:send():378] send: run
2024-05-24 21:07:37,206 INFO    FPStatsThread:3608 [file_pusher.py:_file_pusher_stats():85] FilePusher stats: {}
2024-05-24 21:07:37,208 INFO    SenderThread:3608 [dir_watcher.py:__init__():211] watching files in: d:\classification_test\wandb\run-20240524_210735-3tv27o8t\files
2024-05-24 21:07:37,208 INFO    SenderThread:3608 [sender.py:_start_run_threads():1123] run started: 3tv27o8t with start time 1716559655.292674
2024-05-24 21:07:37,233 DEBUG   HandlerThread:3608 [handler.py:handle_request():158] handle_request: check_version
2024-05-24 21:07:37,236 DEBUG   SenderThread:3608 [sender.py:send_request():405] send_request: check_version
2024-05-24 21:07:38,211 INFO    FPStatsThread:3608 [file_pusher.py:_file_pusher_stats():85] FilePusher stats: {}
2024-05-24 21:07:38,903 DEBUG   HandlerThread:3608 [handler.py:handle_request():158] handle_request: run_start
2024-05-24 21:07:39,057 DEBUG   HandlerThread:3608 [system_info.py:__init__():26] System info init
2024-05-24 21:07:39,057 DEBUG   HandlerThread:3608 [system_info.py:__init__():41] System info init done
2024-05-24 21:07:39,057 INFO    HandlerThread:3608 [system_monitor.py:start():194] Starting system monitor
2024-05-24 21:07:39,057 INFO    SystemMonitor:3608 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-24 21:07:39,057 INFO    HandlerThread:3608 [system_monitor.py:probe():214] Collecting system info
2024-05-24 21:07:39,094 INFO    SystemMonitor:3608 [interfaces.py:start():188] Started cpu monitoring
2024-05-24 21:07:39,094 INFO    SystemMonitor:3608 [interfaces.py:start():188] Started disk monitoring
2024-05-24 21:07:39,102 INFO    SystemMonitor:3608 [interfaces.py:start():188] Started gpu monitoring
2024-05-24 21:07:39,120 INFO    SystemMonitor:3608 [interfaces.py:start():188] Started memory monitoring
2024-05-24 21:07:39,208 INFO    SystemMonitor:3608 [interfaces.py:start():188] Started network monitoring
2024-05-24 21:07:39,208 DEBUG   HandlerThread:3608 [system_info.py:probe():150] Probing system
2024-05-24 21:07:39,238 INFO    FPStatsThread:3608 [file_pusher.py:_file_pusher_stats():85] FilePusher stats: {}
2024-05-24 21:07:39,245 DEBUG   HandlerThread:3608 [system_info.py:_probe_git():135] Probing git
2024-05-24 21:07:39,564 DEBUG   HandlerThread:3608 [system_info.py:_probe_git():143] Probing git done
2024-05-24 21:07:39,564 DEBUG   HandlerThread:3608 [system_info.py:probe():198] Probing system done
